Altium Designer Pick and Place Locations
D:\Work\Outsource\Mash-Unit\MU-RK3576J-MB\MU-RK3576J-MB\Project\Project Outputs for WM620-FA\Pick Place for MU-RK3576J-MB(MU-RK3576J-MB_MEDIAPLAYER).txt

========================================================================================================================
File Design Information:

Date:       18.06.26
Time:       00:38
Revision:   565ab68ce903e9d283ca9fb6306d9a29e483809e
Variant:    MU-RK3576J-MB_MEDIAPLAYER
Units used: mm

Designator Comment                  Layer       Footprint               Center-X(mm) Center-Y(mm) Rotation Description                                                                                          
VT10       MMBT3904                 BottomLayer SOT23                   109.6855     62.6725      180      "NPN transistor"                                                                                     
R106       22R±5%                   BottomLayer R0402                   112.1350     63.1287      270      ""                                                                                                   
R510       1M±1%                    BottomLayer R0402                   46.7009      65.6086      0        "Chip Resistor 0402 1M? ±1% 50V ±100ppm/? Thick Film"                                                
VD24       ESD5344D                 TopLayer    ESD5344D                106.0750     12.2996      180      ""                                                                                                   
VD23       ESD5344D                 TopLayer    ESD5344D                109.0750     12.2754      180      ""                                                                                                   
R455       2.2R±1%                  BottomLayer R0402                   36.6392      65.5001      180      ""                                                                                                   
R453       2.2R±1%                  BottomLayer R0402                   36.6392      66.4315      180      ""                                                                                                   
R452       2.2R±1%                  BottomLayer R0402                   36.6412      63.6725      180      ""                                                                                                   
R450       2.2R±1%                  BottomLayer R0402                   36.6412      64.5593      180      ""                                                                                                   
R449       2.2R±1%                  BottomLayer R0402                   36.6412      61.8056      180      ""                                                                                                   
R448       2.2R±1%                  BottomLayer R0402                   36.6412      62.6900      180      ""                                                                                                   
R446       2.2R±1%                  BottomLayer R0402                   36.6276      59.9435      180      ""                                                                                                   
R445       2.2R±1%                  BottomLayer R0402                   36.6412      60.8751      180      ""                                                                                                   
R509       22R±1%                   BottomLayer R0402                   122.9936     42.1583      180      "Chip Resistor 0402 22? ±1% 50V ±100ppm/? Thick Film"                                                
R508       22R±1%                   BottomLayer R0402                   122.9995     43.0833      180      "Chip Resistor 0402 22? ±1% 50V ±100ppm/? Thick Film"                                                
R507       22R±1%                   BottomLayer R0402                   122.9750     49.8000      180      "Chip Resistor 0402 22? ±1% 50V ±100ppm/? Thick Film"                                                
R506       22R±1%                   BottomLayer R0402                   122.9917     48.9171      180      "Chip Resistor 0402 22? ±1% 50V ±100ppm/? Thick Film"                                                
R505       22R±1%                   BottomLayer R0402                   123.0053     48.0605      180      "Chip Resistor 0402 22? ±1% 50V ±100ppm/? Thick Film"                                                
R504       22R±1%                   BottomLayer R0402                   122.9968     47.1605      180      "Chip Resistor 0402 22? ±1% 50V ±100ppm/? Thick Film"                                                
C32        0.1uF                    TopLayer    C0201                   103.4904     88.6132      0        ""                                                                                                   
C24        0.1uF                    TopLayer    C0201                   103.4904     89.2253      0        ""                                                                                                   
X24        B2B-PH-K-S               TopLayer    B2B-PH-K-S              22.5641      18.3500      0        "1x2P PH 2mm Connector"                                                                              
VT9        AON7262E                 BottomLayer AON7262E                26.1950      18.0160      180      "60V 6.2m?@10V,20A 2.2V@250uA N Channel DFN-8(3.3x3.3) MOSFET"                                       
VD42       B5819W                   BottomLayer B5819W                  22.5910      20.2432      0        ""                                                                                                   
R502       0R±1%                    BottomLayer R0402                   47.7649      40.8960      0        "Chip Resistor 0402 0? ±1% 50V ±100ppm/? Thick Film"                                                 
R499       0R±1%                    BottomLayer R0402                   47.7649      39.9844      0        "Chip Resistor 0402 0? ±1% 50V ±100ppm/? Thick Film"                                                 
R498       0R±1%                    BottomLayer R0402                   47.7414      38.1751      0        "Chip Resistor 0402 0? ±1% 50V ±100ppm/? Thick Film"                                                 
R495       0R±1%                    BottomLayer R0402                   47.7515      39.0792      0        "Chip Resistor 0402 0? ±1% 50V ±100ppm/? Thick Film"                                                 
R494       0R±1%                    BottomLayer R0402                   47.7273      36.2350      0        "Chip Resistor 0402 0? ±1% 50V ±100ppm/? Thick Film"                                                 
R493       0R±1%                    BottomLayer R0402                   47.7207      37.1955      0        "Chip Resistor 0402 0? ±1% 50V ±100ppm/? Thick Film"                                                 
R244       0R±1%                    BottomLayer R0402                   47.7068      34.2680      0        "Chip Resistor 0402 0? ±1% 50V ±100ppm/? Thick Film"                                                 
L17        120R-100MHz±25%          BottomLayer L0805                   17.4489      22.3950      0        *                                                                                                    
C23        0.1uF                    BottomLayer C0402                   19.4842      22.1832      0        ""                                                                                                   
C17        10uF                     BottomLayer C1206                   22.3039      22.2962      0        ""                                                                                                   
R238       0R±1%                    BottomLayer R0402                   47.7068      35.2583      0        "Chip Resistor 0402 0? ±1% 50V ±100ppm/? Thick Film"                                                 
R237       1K±1%                    BottomLayer R0402                   23.7619      16.5694      0        ""                                                                                                   
R236       13K±1%                   TopLayer    R0402                   114.4000     37.3500      270      ""                                                                                                   
R210       13K±1%                   TopLayer    R0402                   115.2830     37.3795      270      ""                                                                                                   
R209       13K±1%                   TopLayer    R0402                   99.9352      44.7201      180      ""                                                                                                   
R207       13K±1%                   TopLayer    R0402                   99.9300      45.6166      180      ""                                                                                                   
R205       100K±1%                  TopLayer    R0402                   116.2384     37.3912      90       "Chip Resistor 0402 100k? ±1% 50V ±100ppm/? Thick Film"                                              
R203       100K±1%                  TopLayer    R0402                   99.9446      43.8453      0        "Chip Resistor 0402 100k? ±1% 50V ±100ppm/? Thick Film"                                              
C8         0.1uF                    BottomLayer C0402                   116.1750     53.2000      90       "Ceramic Capacitor 0402 100nF ±5% 16V X7R"                                                           
R202       0R±1%                    BottomLayer R0402                   115.2855     39.5570      90       "Chip Resistor 0402 0? ±1% 50V ±100ppm/? Thick Film"                                                 
C13        10uF                     TopLayer    C1206                   103.9877     34.1567      90       ""                                                                                                   
C10        10uF                     TopLayer    C1206                   106.0738     34.1059      90       ""                                                                                                   
C9         10uF                     TopLayer    C1206                   108.1535     34.0948      90       ""                                                                                                   
C7         10uF                     TopLayer    C1206                   132.2869     31.2984      90       ""                                                                                                   
C6         10uF                     TopLayer    C1206                   130.1690     31.3449      90       ""                                                                                                   
C3         10uF                     TopLayer    C1206                   128.0125     31.3665      90       ""                                                                                                   
R235       0R±1%                    TopLayer    R0402                   49.0692      54.7465      90       "Chip Resistor 0402 0? ±1% 50V ±100ppm/? Thick Film"                                                 
R233       0R±1%                    TopLayer    R0402                   56.5596      55.8728      270      "Chip Resistor 0402 0? ±1% 50V ±100ppm/? Thick Film"                                                 
X22        FPC-05F-22PH20           TopLayer    FPC-05F-22PH20          93.6499      83.7375      180      "FFC/FPC Connector 22 Position 0.5mm Pitch Bottom Contact Surface Mount, Right Angle -25?~+85?"      
VD53       B5819W                   BottomLayer B5819W                  18.7500      32.2000      0        ""                                                                                                   
